Date : 2024-08-20 18:21:11
Directory : e:\weichang\iot-web
Total : 307 files,  26540 codes, 1545 comments, 2071 blanks, all 30156 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\router (Files)                                                                    |          1 |         95 |         38 |         14 |        147 |
| src\router\modules                                                                    |          5 |        298 |          5 |         17 |        320 |
| src\store                                                                             |          8 |        453 |         29 |         64 |        546 |
| src\store (Files)                                                                     |          2 |         32 |          4 |          7 |         43 |
| src\store\modules                                                                     |          6 |        421 |         25 |         57 |        503 |
| src\styles                                                                            |          8 |        611 |         33 |        146 |        790 |
| src\utils                                                                             |         14 |        605 |        221 |         96 |        922 |
| src\views                                                                             |         75 |     12,424 |        562 |        691 |     13,677 |
| src\views\dashboard                                                                   |         14 |      1,774 |         23 |         84 |      1,881 |
| src\views\dashboard (Files)                                                           |          1 |         29 |          0 |          3 |         32 |
| src\views\dashboard\admin                                                             |         12 |      1,675 |         23 |         76 |      1,774 |
| src\views\dashboard\admin (Files)                                                     |          1 |        210 |          0 |         15 |        225 |
| src\views\dashboard\admin\components                                                  |         11 |      1,465 |         23 |         61 |      1,549 |
| src\views\dashboard\admin\components (Files)                                          |          7 |        900 |          1 |         52 |        953 |
| src\views\dashboard\admin\components\TodoList                                         |          3 |        506 |         18 |          7 |        531 |
| src\views\dashboard\admin\components\mixins                                           |          1 |         59 |          4 |          2 |         65 |
| src\views\dashboard\editor                                                            |          1 |         70 |          0 |          5 |         75 |
| src\views\error-page                                                                  |          2 |        321 |          0 |          8 |        329 |
| src\views\icons                                                                       |          3 |        103 |          0 |         14 |        117 |
| src\views\login                                                                       |          3 |        350 |         54 |         35 |        439 |
| src\views\login (Files)                                                               |          2 |        292 |         43 |         31 |        366 |
| src\views\login\components                                                            |          1 |         58 |         11 |          4 |         73 |
| src\views\permission                                                                  |          4 |        249 |        159 |         39 |        447 |
| src\views\permission (Files)                                                          |          3 |        218 |        159 |         37 |        414 |
| src\views\permission\components                                                       |          1 |         31 |          0 |          2 |         33 |
| src\views\profile                                                                     |          5 |        425 |          0 |         48 |        473 |
| src\views\profile (Files)                                                             |          1 |         63 |          0 |          6 |         69 |
| src\views\profile\components                                                          |          4 |        362 |          0 |         42 |        404 |
| src\views\redirect                                                                    |          1 |         12 |          0 |          1 |         13 |
| src\views\system                                                                      |         19 |      4,058 |        259 |        246 |      4,563 |
| src\views\system\sys-cost                                                             |          2 |        332 |         11 |         17 |        360 |
| src\views\system\sys-cost (Files)                                                     |          1 |        151 |          1 |          9 |        161 |
| src\views\system\sys-cost\components                                                  |          1 |        181 |         10 |          8 |        199 |
| src\views\system\sys-department                                                       |          2 |        509 |         34 |         29 |        572 |
| src\views\system\sys-department (Files)                                               |          1 |        227 |         12 |         14 |        253 |
| src\views\system\sys-department\components                                            |          1 |        282 |         22 |         15 |        319 |
| src\views\system\sys-dict                                                             |          4 |        685 |         31 |         64 |        780 |
| src\views\system\sys-dict (Files)                                                     |          2 |        381 |         19 |         35 |        435 |
| src\views\system\sys-dict\components                                                  |          2 |        304 |         12 |         29 |        345 |
| src\views\system\sys-menu                                                             |          2 |        613 |         14 |         27 |        654 |
| src\views\system\sys-menu (Files)                                                     |          1 |        253 |          2 |         14 |        269 |
| src\views\system\sys-menu\components                                                  |          1 |        360 |         12 |         13 |        385 |
| src\views\system\sys-operationlog                                                     |          2 |        325 |         10 |         20 |        355 |
| src\views\system\sys-operationlog (Files)                                             |          1 |        148 |          0 |          8 |        156 |
| src\views\system\sys-operationlog\components                                          |          1 |        177 |         10 |         12 |        199 |
| src\views\system\sys-role                                                             |          3 |        668 |         76 |         43 |        787 |
| src\views\system\sys-role (Files)                                                     |          2 |        460 |         48 |         37 |        545 |
| src\views\system\sys-role\components                                                  |          1 |        208 |         28 |          6 |        242 |
| src\views\system\sys-user                                                             |          4 |        926 |         83 |         46 |      1,055 |
| src\views\system\sys-user (Files)                                                     |          1 |        324 |         42 |         17 |        383 |
| src\views\system\sys-user\components                                                  |          3 |        602 |         41 |         29 |        672 |
| src\views\table                                                                       |         23 |      5,024 |         67 |        205 |      5,296 |
| src\views\table (Files)                                                               |          1 |      1,791 |         21 |         54 |      1,866 |
| src\views\table\realTime-chart                                                        |         17 |      2,408 |         35 |         98 |      2,541 |
| src\views\table\realTime-chart (Files)                                                |          1 |        489 |         13 |         21 |        523 |
| src\views\table\realTime-chart\components                                             |         16 |      1,919 |         22 |         77 |      2,018 |
| src\views\table\realTime-chart\components (Files)                                     |         12 |      1,354 |          0 |         68 |      1,422 |
| src\views\table\realTime-chart\components\TodoList                                    |          3 |        506 |         18 |          7 |        531 |
| src\views\table\realTime-chart\components\mixins                                      |          1 |         59 |          4 |          2 |         65 |
| src\views\table\runtime                                                               |          5 |        825 |         11 |         53 |        889 |
| src\views\table\runtime (Files)                                                       |          1 |        229 |          4 |         11 |        244 |
| src\views\table\runtime\components                                                    |          4 |        596 |          7 |         42 |        645 |
| src\views\table\runtime\components (Files)                                            |          3 |        537 |          3 |         40 |        580 |
| src\views\table\runtime\components\mixins                                             |          1 |         59 |          4 |          2 |         65 |
| src\views\theme                                                                       |          1 |        108 |          0 |         11 |        119 |
| tests                                                                                 |          7 |        154 |          0 |         13 |        167 |
| tests\unit                                                                            |          7 |        154 |          0 |         13 |        167 |
| tests\unit (Files)                                                                    |          1 |          5 |          0 |          1 |          6 |
| tests\unit\components                                                                 |          2 |         40 |          0 |          2 |         42 |
| tests\unit\utils                                                                      |          4 |        109 |          0 |         10 |        119 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\weichang\iot-web\.eslintrc.js                                                      | JavaScript         |        195 |          2 |          2 |        199 |
| e:\weichang\iot-web\.github\FUNDING.yml                                               | YAML               |          2 |          1 |          2 |          5 |
| e:\weichang\iot-web\.github\ISSUE_TEMPLATE\bug_report.md                              | Markdown           |         12 |         13 |          9 |         34 |
| e:\weichang\iot-web\.github\ISSUE_TEMPLATE\feature_request.md                         | Markdown           |          5 |          0 |          3 |          8 |
| e:\weichang\iot-web\.github\ISSUE_TEMPLATE\question.md                                | Markdown           |         12 |         15 |          9 |         36 |
| e:\weichang\iot-web\.gitlab-ci.yml                                                    | YAML               |         38 |          1 |          6 |         45 |
| e:\weichang\iot-web\.travis.yml                                                       | YAML               |          5 |          0 |          1 |          6 |
| e:\weichang\iot-web\Dockerfile                                                        | Docker             |          4 |          0 |          0 |          4 |
| e:\weichang\iot-web\README.es.md                                                      | Markdown           |        162 |          0 |         66 |        228 |
| e:\weichang\iot-web\README.ja.md                                                      | Markdown           |        159 |          0 |         65 |        224 |
| e:\weichang\iot-web\README.md                                                         | Markdown           |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\README.zh-CN.md                                                   | Markdown           |        178 |          0 |         74 |        252 |
| e:\weichang\iot-web\babel.config.js                                                   | JavaScript         |         10 |          4 |          1 |         15 |
| e:\weichang\iot-web\build\index.js                                                    | JavaScript         |         28 |          0 |          8 |         36 |
| e:\weichang\iot-web\jest.config.js                                                    | JavaScript         |         23 |          1 |          1 |         25 |
| e:\weichang\iot-web\jsconfig.json                                                     | JSON with Comments |          9 |          0 |          0 |          9 |
| e:\weichang\iot-web\mock\article.js                                                   | JavaScript         |        116 |          0 |         13 |        129 |
| e:\weichang\iot-web\mock\index.js                                                     | JavaScript         |         47 |          6 |          8 |         61 |
| e:\weichang\iot-web\mock\mock-server.js                                               | JavaScript         |         65 |          6 |         11 |         82 |
| e:\weichang\iot-web\mock\remote-search.js                                             | JavaScript         |         49 |          2 |          5 |         56 |
| e:\weichang\iot-web\mock\role\index.js                                                | JavaScript         |         89 |          5 |          8 |        102 |
| e:\weichang\iot-web\mock\role\routes.js                                               | JavaScript         |        512 |          1 |         18 |        531 |
| e:\weichang\iot-web\mock\user.js                                                      | JavaScript         |         72 |          5 |          9 |         86 |
| e:\weichang\iot-web\mock\utils.js                                                     | JavaScript         |         35 |         11 |          3 |         49 |
| e:\weichang\iot-web\package.json                                                      | JSON               |        102 |          0 |          1 |        103 |
| e:\weichang\iot-web\plop-templates\component\index.hbs                                | Handlebars         |         23 |          0 |          4 |         27 |
| e:\weichang\iot-web\plop-templates\component\prompt.js                                | JavaScript         |         53 |          0 |          3 |         56 |
| e:\weichang\iot-web\plop-templates\store\index.hbs                                    | Handlebars         |         13 |          0 |          4 |         17 |
| e:\weichang\iot-web\plop-templates\store\prompt.js                                    | JavaScript         |         60 |          0 |          3 |         63 |
| e:\weichang\iot-web\plop-templates\utils.js                                           | JavaScript         |          2 |          0 |          1 |          3 |
| e:\weichang\iot-web\plop-templates\view\index.hbs                                     | Handlebars         |         23 |          0 |          4 |         27 |
| e:\weichang\iot-web\plop-templates\view\prompt.js                                     | JavaScript         |         53 |          0 |          3 |         56 |
| e:\weichang\iot-web\plopfile.js                                                       | JavaScript         |          8 |          0 |          2 |         10 |
| e:\weichang\iot-web\postcss.config.js                                                 | JavaScript         |          5 |          0 |          1 |          6 |
| e:\weichang\iot-web\public\index.html                                                 | HTML               |         14 |          1 |          1 |         16 |
| e:\weichang\iot-web\src\App.vue                                                       | Vue                |         10 |          0 |          2 |         12 |
| e:\weichang\iot-web\src\api\basics\bas-dict-api.js                                    | JavaScript         |         55 |         15 |          5 |         75 |
| e:\weichang\iot-web\src\api\deviceData.js                                             | JavaScript         |        112 |          0 |         17 |        129 |
| e:\weichang\iot-web\src\api\dict.js                                                   | JavaScript         |          8 |          0 |          2 |         10 |
| e:\weichang\iot-web\src\api\platform.js                                               | JavaScript         |        276 |          0 |         42 |        318 |
| e:\weichang\iot-web\src\api\qiniu.js                                                  | JavaScript         |          7 |          0 |          2 |          9 |
| e:\weichang\iot-web\src\api\remote-search.js                                          | JavaScript         |         15 |          0 |          3 |         18 |
| e:\weichang\iot-web\src\api\system\download-api.js                                    | JavaScript         |         11 |          5 |          5 |         21 |
| e:\weichang\iot-web\src\api\system\sys-auth-book-log-api.js                           | JavaScript         |         11 |          5 |          5 |         21 |
| e:\weichang\iot-web\src\api\system\sys-cost-api.js                                    | JavaScript         |         37 |          0 |         10 |         47 |
| e:\weichang\iot-web\src\api\system\sys-department-api.js                              | JavaScript         |         44 |         30 |         10 |         84 |
| e:\weichang\iot-web\src\api\system\sys-order-operation-log-api.js                     | JavaScript         |         11 |          5 |          7 |         23 |
| e:\weichang\iot-web\src\api\system\sys-permission-api.js                              | JavaScript         |         48 |         35 |         12 |         95 |
| e:\weichang\iot-web\src\api\system\sys-role-api.js                                    | JavaScript         |         51 |         35 |         13 |         99 |
| e:\weichang\iot-web\src\api\system\sys-user-api.js                                    | JavaScript         |         70 |         50 |         14 |        134 |
| e:\weichang\iot-web\src\api\system\upload-api.js                                      | JavaScript         |         20 |         10 |          6 |         36 |
| e:\weichang\iot-web\src\api\user.js                                                   | JavaScript         |         40 |          0 |          7 |         47 |
| e:\weichang\iot-web\src\assets\custom-theme\index.css                                 | CSS                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\components\BackToTop\index.vue                                | Vue                |        105 |          0 |          7 |        112 |
| e:\weichang\iot-web\src\components\Breadcrumb\index.vue                               | Vue                |         77 |          3 |          7 |         87 |
| e:\weichang\iot-web\src\components\Charts\Keyboard.vue                                | Vue                |        152 |          0 |          4 |        156 |
| e:\weichang\iot-web\src\components\Charts\LineMarker.vue                              | Vue                |        222 |          0 |          6 |        228 |
| e:\weichang\iot-web\src\components\Charts\MixChart.vue                                | Vue                |        265 |          0 |          7 |        272 |
| e:\weichang\iot-web\src\components\Charts\mixins\resize.js                            | JavaScript         |         48 |          4 |          5 |         57 |
| e:\weichang\iot-web\src\components\DatePickerRange\index.vue                          | Vue                |        130 |          0 |          6 |        136 |
| e:\weichang\iot-web\src\components\DndList\index.vue                                  | Vue                |        155 |          2 |         10 |        167 |
| e:\weichang\iot-web\src\components\DragSelect\index.vue                               | Vue                |         59 |          2 |          5 |         66 |
| e:\weichang\iot-web\src\components\Dropzone\index.vue                                 | Vue                |        265 |         11 |         22 |        298 |
| e:\weichang\iot-web\src\components\ErrorLog\index.vue                                 | Vue                |         75 |          0 |          4 |         79 |
| e:\weichang\iot-web\src\components\GithubCorner\index.vue                             | Vue                |         51 |          0 |          4 |         55 |
| e:\weichang\iot-web\src\components\Hamburger\index.vue                                | Vue                |         41 |          0 |          4 |         45 |
| e:\weichang\iot-web\src\components\ImageCropper\index.vue                             | Vue                |      1,688 |         84 |          8 |      1,780 |
| e:\weichang\iot-web\src\components\ImageCropper\utils\data2blob.js                    | JavaScript         |         11 |          8 |          1 |         20 |
| e:\weichang\iot-web\src\components\ImageCropper\utils\effectRipple.js                 | JavaScript         |         32 |          7 |          1 |         40 |
| e:\weichang\iot-web\src\components\ImageCropper\utils\language.js                     | JavaScript         |        230 |          0 |          3 |        233 |
| e:\weichang\iot-web\src\components\ImageCropper\utils\mimes.js                        | JavaScript         |          7 |          0 |          1 |          8 |
| e:\weichang\iot-web\src\components\JsonEditor\index.vue                               | Vue                |         69 |          1 |          8 |         78 |
| e:\weichang\iot-web\src\components\Kanban\index.vue                                   | Vue                |         91 |          2 |          7 |        100 |
| e:\weichang\iot-web\src\components\LangSelect\index.vue                               | Vue                |         40 |          0 |          2 |         42 |
| e:\weichang\iot-web\src\components\MDinput\index.vue                                  | Vue                |        341 |         13 |          7 |        361 |
| e:\weichang\iot-web\src\components\MarkdownEditor\default-options.js                  | JavaScript         |         30 |          1 |          1 |         32 |
| e:\weichang\iot-web\src\components\MarkdownEditor\index.vue                           | Vue                |        114 |          1 |          4 |        119 |
| e:\weichang\iot-web\src\components\Pagination\index.vue                               | Vue                |         98 |          0 |          4 |        102 |
| e:\weichang\iot-web\src\components\PanThumb\index.vue                                 | Vue                |        117 |         13 |         13 |        143 |
| e:\weichang\iot-web\src\components\RightPanel\index.vue                               | Vue                |        136 |          0 |         10 |        146 |
| e:\weichang\iot-web\src\components\Screenfull\index.vue                               | Vue                |         57 |          0 |          4 |         61 |
| e:\weichang\iot-web\src\components\Share\DropdownMenu.vue                             | Vue                |        101 |          0 |          3 |        104 |
| e:\weichang\iot-web\src\components\SizeSelect\index.vue                               | Vue                |         52 |          1 |          5 |         58 |
| e:\weichang\iot-web\src\components\Sticky\index.vue                                   | Vue                |         90 |          0 |          2 |         92 |
| e:\weichang\iot-web\src\components\SvgIcon\index.vue                                  | Vue                |         57 |          1 |          5 |         63 |
| e:\weichang\iot-web\src\components\TextHoverEffect\Mallki.vue                         | Vue                |        100 |          1 |         13 |        114 |
| e:\weichang\iot-web\src\components\ThemePicker\index.vue                              | Vue                |        150 |          0 |         26 |        176 |
| e:\weichang\iot-web\src\components\Tinymce\components\EditorImage.vue                 | Vue                |        107 |          1 |          4 |        112 |
| e:\weichang\iot-web\src\components\Tinymce\dynamicLoadScript.js                       | JavaScript         |         49 |          4 |          8 |         61 |
| e:\weichang\iot-web\src\components\Tinymce\index.vue                                  | Vue                |        201 |         43 |         11 |        255 |
| e:\weichang\iot-web\src\components\Tinymce\plugins.js                                 | JavaScript         |          2 |          3 |          3 |          8 |
| e:\weichang\iot-web\src\components\Tinymce\toolbar.js                                 | JavaScript         |          2 |          2 |          3 |          7 |
| e:\weichang\iot-web\src\components\TreeSelect\index.vue                               | Vue                |        184 |          0 |         10 |        194 |
| e:\weichang\iot-web\src\components\UploadExcel\index.vue                              | Vue                |        131 |          2 |          6 |        139 |
| e:\weichang\iot-web\src\components\Upload\SingleImage.vue                             | Vue                |        130 |          0 |          5 |        135 |
| e:\weichang\iot-web\src\components\Upload\SingleImage2.vue                            | Vue                |        127 |          0 |          4 |        131 |
| e:\weichang\iot-web\src\components\Upload\SingleImage3.vue                            | Vue                |        154 |          0 |          4 |        158 |
| e:\weichang\iot-web\src\directive\clipboard\clipboard.js                              | JavaScript         |         47 |          1 |          2 |         50 |
| e:\weichang\iot-web\src\directive\clipboard\index.js                                  | JavaScript         |         10 |          0 |          4 |         14 |
| e:\weichang\iot-web\src\directive\el-drag-dialog\drag.js                              | JavaScript         |         56 |          7 |         15 |         78 |
| e:\weichang\iot-web\src\directive\el-drag-dialog\index.js                             | JavaScript         |         10 |          0 |          4 |         14 |
| e:\weichang\iot-web\src\directive\el-table\adaptive.js                                | JavaScript         |         27 |          7 |          8 |         42 |
| e:\weichang\iot-web\src\directive\el-table\index.js                                   | JavaScript         |         10 |          0 |          4 |         14 |
| e:\weichang\iot-web\src\directive\permission\index.js                                 | JavaScript         |         10 |          0 |          4 |         14 |
| e:\weichang\iot-web\src\directive\permission\permission.js                            | JavaScript         |         26 |          0 |          6 |         32 |
| e:\weichang\iot-web\src\directive\sticky.js                                           | JavaScript         |         72 |          6 |         14 |         92 |
| e:\weichang\iot-web\src\directive\waves\index.js                                      | JavaScript         |         10 |          0 |          4 |         14 |
| e:\weichang\iot-web\src\directive\waves\waves.css                                     | CSS                |         25 |          0 |          1 |         26 |
| e:\weichang\iot-web\src\directive\waves\waves.js                                      | JavaScript         |         67 |          0 |          6 |         73 |
| e:\weichang\iot-web\src\filters\index.js                                              | JavaScript         |         39 |         24 |          6 |         69 |
| e:\weichang\iot-web\src\icons\index.js                                                | JavaScript         |          6 |          1 |          3 |         10 |
| e:\weichang\iot-web\src\icons\svg\404.svg                                             | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\alarm.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\blood.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\bug.svg                                             | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\chart.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\clipboard.svg                                       | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\component.svg                                       | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\dashboard.svg                                       | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\documentation.svg                                   | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\drag.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\edit.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\education.svg                                       | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\email.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\example.svg                                         | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\excel.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\exit-fullscreen.svg                                 | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\eye-open.svg                                        | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\eye.svg                                             | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\form.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\fullscreen.svg                                      | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\guide.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\heart.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\icon.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\international.svg                                   | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\language.svg                                        | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\link.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\list.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\lock.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\message-NEW.svg                                     | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\message.svg                                         | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\money.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\nested.svg                                          | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\oxygen.svg                                          | XML                |          1 |          0 |          0 |          1 |
